rankings_year, extracted_from_url, extracted_on, comments
2017, https://www.usnews.com/best-graduate-schools/search?sort=rank_sort&sortdir=asc&program=top-library-information-science-programs, 2018-02-03, N/A
2017, https://www.usnews.com/best-graduate-schools/search?sort=rank_sort&sortdir=asc&program=top-library-information-science-programs&page=2, 2018-02-03, N/A
2017, https://www.usnews.com/best-graduate-schools/search?sort=rank_sort&sortdir=asc&program=top-library-information-science-programs&page=3, 2018-02-03, N/A
2017, https://www.usnews.com/best-graduate-schools/search?sort=rank_sort&sortdir=asc&program=top-library-information-science-programs&page=4, 2018-02-03, N/A
2017, https://www.usnews.com/best-graduate-schools/search?sort=rank_sort&sortdir=asc&program=top-library-information-science-programs&page=5, 2018-02-03, "this page contains some 'Rank Not Published' rankings"
