rankings_year, extracted_from_url, extracted_on, comments
2017, https://www.usnews.com/best-graduate-schools/top-law-schools/clinical-training-rankings, 2018-02-03, "only one page available"
2016, https://web.archive.org/web/20161024174100/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/clinical-training-rankings, 2018-02-03, "only one page available"
2015, https://web.archive.org/web/20150626162959/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/clinical-training-rankings, 2018-02-03, "only one page available"
2014, https://web.archive.org/web/20140921074933/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/clinical-training-rankings, 2018-02-03, "only one page available"
2013, https://web.archive.org/web/20130815204940/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/clinical-training-rankings, 2018-02-03, "only one page available"
2012, https://web.archive.org/web/20120729115453/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/clinical-training-rankings, 2018-02-03, "only one page available"
