rankings_year, extracted_from_url, extracted_on, comments
2017, https://www.usnews.com/best-graduate-schools/top-nursing-schools/nur-rankings, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-nursing-schools/nur-rankings/page+2, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-nursing-schools/nur-rankings/page+3, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-nursing-schools/nur-rankings/page+4, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-nursing-schools/nur-rankings/page+5, 2018-01-28, "Many more pages of ranked schools are available, but this page ends with rank #115, which is enough."
