rankings_year, extracted_from_url, extracted_on, comments
2017, https://www.usnews.com/best-graduate-schools/top-medical-schools/research-rankings, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-medical-schools/research-rankings/page+2, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-medical-schools/research-rankings/page+3, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-medical-schools/research-rankings/page+4, 2018-01-28, "towards the bottom, some non-numeric, 'RNP', rankings appear, and continue on subsequent pages"
